点云序号,距离雷达的纵向距离/m,距离雷达的横向距离/m,纬度,经度,横向速度,纵向速度,总速度,时间戳,RCS,标定速度与雷达速度差,
1816142,51,-3.5,23.26335092,113.5247978,-1.7547,-3.2925,3.730888412,3.8,1688527464,16.5,0.069111588
1816142,51,-3.5,23.26335079,113.5247975,-1.7548,-3.2924,3.730847196,3.8,1688527464,16.5,0.069152804
1816142,51,-3.5,23.26335066,113.5247973,-1.7556,-3.2925,3.731311781,3.8,1688527464,16.5,0.068688219
1816142,51,-3.5,23.26335053,113.524797,-1.757,-3.2914,3.731000263,3.8,1688527464,16.5,0.068999737
1816142,51,-3.5,23.2633504,113.5247968,-1.7569,-3.2919,3.731394273,3.8,1688527464,16.5,0.068605727
1816142,51,-3.5,23.26335027,113.5247965,-1.7564,-3.2919,3.731158878,3.8,1688527464,16.5,0.068841122
1816142,51,-3.5,23.26335015,113.5247963,-1.7559,-3.2918,3.730835302,3.8,1688527464,16.5,0.069164698
1816142,51,-3.5,23.26335002,113.524796,-1.755,-3.2903,3.729088238,3.8,1688527464,16.5,0.070911762
1816142,51,-3.5,23.26334989,113.5247958,-1.7565,-3.2913,3.730676606,3.8,1688527464,16.5,0.069323394
1816342,51.4,-3.5,23.26334976,113.5247955,-1.7576,-3.2922,3.731988558,3.8,1688527464,19,0.068011442
1816342,51.4,-3.5,23.26334963,113.5247952,-1.7568,-3.2905,3.730112128,3.8,1688527464,19,0.069887872
1816342,51.4,-3.5,23.2633495,113.524795,-1.7555,-3.2908,3.729764723,3.8,1688527464,19,0.070235277
1816342,51.4,-3.5,23.26334938,113.5247947,-1.7551,-3.2895,3.728429463,3.8,1688527464,19,0.071570537
1816342,51.4,-3.5,23.26334925,113.5247945,-1.7544,-3.291,3.729423596,3.8,1688527464,19,0.070576404
1816342,51.4,-3.5,23.26334912,113.5247942,-1.7552,-3.2906,3.729447064,3.8,1688527464,19,0.070552936
1816342,51.4,-3.5,23.26334899,113.524794,-1.7546,-3.291,3.729517685,3.8,1688527464,19,0.070482315
1816342,51.4,-3.5,23.26334886,113.5247937,-1.7546,-3.2917,3.730135393,3.8,1688527464,19,0.069864607
1816342,51.4,-3.5,23.26334874,113.5247935,-1.755,-3.2912,3.729882363,3.8,1688527464,19,0.070117637
1816342,51.4,-3.5,23.26334861,113.5247932,-1.7533,-3.2903,3.728288479,3.8,1688527464,19,0.071711521
1816551,51.6,-3.3,23.26334848,113.5247929,-1.7526,-3.2904,3.728047602,3.8,1688527465,21,0.071952398
1816551,51.6,-3.3,23.26334835,113.5247927,-1.7532,-3.2881,3.726300021,3.8,1688527465,21,0.073699979
1816551,51.6,-3.3,23.26334822,113.5247924,-1.7537,-3.2893,3.727594154,3.8,1688527465,21,0.072405846
1816551,51.6,-3.3,23.26334809,113.5247922,-1.7538,-3.2901,3.728347147,3.8,1688527465,21,0.071652853
1816551,51.6,-3.3,23.26334797,113.5247919,-1.7543,-3.2895,3.728052942,3.8,1688527465,21,0.071947058
1816551,51.6,-3.3,23.26334784,113.5247917,-1.7529,-3.2867,3.724923529,3.8,1688527465,21,0.075076471
1816551,51.6,-3.3,23.26334771,113.5247914,-1.7533,-3.2869,3.725288244,3.8,1688527465,21,0.074711756
1816551,51.6,-3.3,23.26334758,113.5247912,-1.7544,-3.2876,3.726423637,3.8,1688527465,21,0.073576363
1816551,51.6,-3.3,23.26334745,113.5247909,-1.7545,-3.287,3.725941391,3.8,1688527465,21,0.074058609
1816551,51.6,-3.3,23.26334733,113.5247906,-1.7561,-3.2875,3.727136094,3.8,1688527465,21,0.072863906
1816747,52.2,-3.5,23.2633472,113.5247904,-1.7568,-3.287,3.727024985,3.8,1688527465,9.5,0.072975015
1816747,52.2,-3.5,23.26334707,113.5247901,-1.7587,-3.287,3.727920961,3.8,1688527465,9.5,0.072079039
1816747,52.2,-3.5,23.26334694,113.5247899,-1.7551,-3.2843,3.723842438,3.8,1688527465,9.5,0.076157562
1816747,52.2,-3.5,23.26334681,113.5247896,-1.755,-3.2848,3.724236303,3.8,1688527465,9.5,0.075763697
1816747,52.2,-3.5,23.26334668,113.5247894,-1.7571,-3.2823,3.723022119,3.8,1688527465,9.5,0.076977881
1816747,52.2,-3.5,23.26334656,113.5247891,-1.7569,-3.2845,3.724867496,3.8,1688527465,9.5,0.075132504
1816747,52.2,-3.5,23.26334643,113.5247889,-1.758,-3.2826,3.723711423,3.8,1688527465,9.5,0.076288577
1816747,52.2,-3.5,23.2633463,113.5247886,-1.7573,-3.2821,3.722940196,3.8,1688527465,9.5,0.077059804
1816747,52.2,-3.5,23.26334617,113.5247883,-1.7571,-3.2801,3.721082695,3.8,1688527465,9.5,0.078917305
1816747,52.2,-3.5,23.26334604,113.5247881,-1.7574,-3.2786,3.719902246,3.8,1688527465,9.5,0.080097754
1816939,52.4,-3.5,23.26334592,113.5247878,-1.7566,-3.2796,3.720405854,3.8,1688527465,17,0.079594146
1816939,52.4,-3.5,23.26334579,113.5247876,-1.7576,-3.2789,3.720261143,3.8,1688527465,17,0.079738857
1816939,52.4,-3.5,23.26334566,113.5247873,-1.7582,-3.279,3.720632774,3.8,1688527465,17,0.079367226
1816939,52.4,-3.5,23.26334553,113.5247871,-1.7573,-3.2789,3.72011942,3.8,1688527465,17,0.07988058
1816939,52.4,-3.5,23.2633454,113.5247868,-1.7579,-3.2765,3.718287867,3.8,1688527465,17,0.081712133
1816939,52.4,-3.5,23.26334527,113.5247866,-1.7563,-3.2733,3.714711642,3.8,1688527465,17,0.085288358
1816939,52.4,-3.5,23.26334515,113.5247863,-1.7553,-3.2757,3.716354205,3.8,1688527465,17,0.083645795
1816939,52.4,-3.5,23.26334502,113.5247861,-1.7541,-3.2746,3.714817892,3.8,1688527465,17,0.085182108
1816939,52.4,-3.5,23.26334489,113.5247858,-1.7528,-3.2743,3.713939732,3.8,1688527465,17,0.086060268
1816939,52.4,-3.5,23.26334476,113.5247855,-1.7527,-3.2729,3.712658306,3.8,1688527465,17,0.087341694
1817151,52.2,-3.5,23.26334463,113.5247853,-1.7515,-3.2723,3.711562951,3.8,1688527465,16,0.088437049
1817151,52.2,-3.5,23.26334451,113.524785,-1.7498,-3.2736,3.711907461,3.8,1688527465,16,0.088092539
1817151,52.2,-3.5,23.26334438,113.5247848,-1.7485,-3.2714,3.70935442,3.8,1688527465,16,0.09064558
1817151,52.2,-3.5,23.26334425,113.5247845,-1.7463,-3.2726,3.709376558,3.8,1688527465,16,0.090623442
1817151,52.2,-3.5,23.26334412,113.5247843,-1.745,-3.273,3.709117685,3.8,1688527465,16,0.090882315
1817151,52.2,-3.5,23.263344,113.524784,-1.7454,-3.2732,3.709482363,3.8,1688527465,16,0.090517637
1817151,52.2,-3.5,23.26334387,113.5247838,-1.7434,-3.2706,3.706247148,3.8,1688527465,16,0.093752852
1817151,52.2,-3.5,23.26334374,113.5247835,-1.7416,-3.2708,3.70557731,3.8,1688527465,16,0.09442269
1817151,52.2,-3.5,23.26334361,113.5247833,-1.7399,-3.2707,3.704690338,3.8,1688527465,16,0.095309662
1817151,52.2,-3.5,23.26334349,113.524783,-1.7382,-3.2706,3.703803936,3.8,1688527465,16,0.096196064
1817346,53,-3.5,23.26334336,113.5247827,-1.7395,-3.2705,3.704325917,3.8,1688527465,16.5,0.095674083
1817346,53,-3.5,23.26334323,113.5247825,-1.7402,-3.268,3.702447844,3.8,1688527465,16.5,0.097552156
1817346,53,-3.5,23.26334311,113.5247822,-1.7393,-3.2675,3.701583545,3.8,1688527465,16.5,0.098416455
1817346,53,-3.5,23.26334298,113.524782,-1.7378,-3.268,3.701320418,3.8,1688527465,16.5,0.098679582
1817346,53,-3.5,23.26334285,113.5247817,-1.7364,-3.267,3.699780258,3.8,1688527465,16.5,0.100219742
1817346,53,-3.5,23.26334273,113.5247815,-1.7367,-3.2654,3.698508355,3.8,1688527465,16.5,0.101491645
1817346,53,-3.5,23.2633426,113.5247812,-1.736,-3.2655,3.698268007,3.8,1688527465,16.5,0.101731993
1817346,53,-3.5,23.26334247,113.524781,-1.7359,-3.2652,3.697956172,3.8,1688527465,16.5,0.102043828
1817346,53,-3.5,23.26334235,113.5247807,-1.737,-3.2637,3.697148454,3.8,1688527465,16.5,0.102851546
1817549,53,-3.5,23.26334222,113.5247805,-1.7374,-3.2646,3.698130868,3.8,1688527465,16,0.101869132
1817549,53,-3.5,23.26334209,113.5247802,-1.7371,-3.2623,3.695959645,3.8,1688527465,16,0.104040355
1817549,53,-3.5,23.26334196,113.52478,-1.7359,-3.2595,3.692924188,3.8,1688527465,16,0.107075812
1817549,53,-3.5,23.26334184,113.5247797,-1.735,-3.2584,3.691530246,3.8,1688527465,16,0.108469754
1817549,53,-3.5,23.26334171,113.5247794,-1.7365,-3.2557,3.689852943,3.8,1688527465,16,0.110147057
1817549,53,-3.5,23.26334158,113.5247792,-1.7362,-3.2538,3.688035369,3.8,1688527465,16,0.111964631
1817549,53,-3.5,23.26334146,113.5247789,-1.7348,-3.2486,3.682788753,3.8,1688527465,16,0.117211247
1817549,53,-3.5,23.26334133,113.5247787,-1.7317,-3.2484,3.681153006,3.8,1688527465,16,0.118846994
1817549,53,-3.5,23.26334121,113.5247784,-1.7296,-3.2473,3.679194674,3.8,1688527465,16,0.120805326
1817743,53.4,-3.7,23.26334108,113.5247782,-1.7295,-3.2447,3.676853048,3.8,1688527465,14,0.123146952
1817743,53.4,-3.7,23.26334095,113.5247779,-1.7259,-3.2396,3.670659201,3.8,1688527465,14,0.129340799
1817743,53.4,-3.7,23.26334083,113.5247777,-1.7243,-3.236,3.666729672,3.8,1688527465,14,0.133270328
1817743,53.4,-3.7,23.2633407,113.5247774,-1.7227,-3.2372,3.667036832,3.8,1688527465,14,0.132963168
1817743,53.4,-3.7,23.26334058,113.5247772,-1.7208,-3.2358,3.664908495,3.8,1688527465,14,0.135091505
1817743,53.4,-3.7,23.26334045,113.5247769,-1.7196,-3.2338,3.662579228,3.8,1688527465,14,0.137420772
1817743,53.4,-3.7,23.26334032,113.5247767,-1.7186,-3.2319,3.660432156,3.8,1688527465,14,0.139567844
1817743,53.4,-3.7,23.2633402,113.5247764,-1.7182,-3.2301,3.658655115,3.8,1688527465,14,0.141344885
1817743,53.4,-3.7,23.26334007,113.5247762,-1.7173,-3.2289,3.65717302,3.8,1688527465,14,0.14282698
1817743,53.4,-3.7,23.26333995,113.5247759,-1.7171,-3.2273,3.655666519,3.8,1688527465,14,0.144333481
1817925,53.4,-3.5,23.26333982,113.5247757,-1.7163,-3.2254,3.653613396,3.8,1688527465,20.5,0.146386604
1817925,53.4,-3.5,23.2633397,113.5247754,-1.716,-3.2233,3.651618667,3.8,1688527465,20.5,0.148381333
1817925,53.4,-3.5,23.26333958,113.5247752,-1.7175,-3.2229,3.651970791,3.8,1688527465,20.5,0.148029209
1817925,53.4,-3.5,23.26333945,113.5247749,-1.7152,-3.2201,3.648418157,3.8,1688527465,20.5,0.151581843
1817925,53.4,-3.5,23.26333933,113.5247747,-1.7156,-3.2174,3.646223542,3.8,1688527465,20.5,0.153776458
1817925,53.4,-3.5,23.2633392,113.5247744,-1.7165,-3.2159,3.645323725,3.8,1688527465,20.5,0.154676275
1817925,53.4,-3.5,23.26333908,113.5247742,-1.7167,-3.2166,3.646035443,3.8,1688527465,20.5,0.153964557
1817925,53.4,-3.5,23.26333896,113.5247739,-1.7181,-3.2128,3.643343444,3.8,1688527465,20.5,0.156656556
1817925,53.4,-3.5,23.26333883,113.5247737,-1.7166,-3.2111,3.641137016,3.8,1688527465,20.5,0.158862984
1818116,54,-3.5,23.26333871,113.5247734,-1.716,-3.2102,3.640060445,3.8,1688527465,17,0.159939555
1818116,54,-3.5,23.26333858,113.5247732,-1.7174,-3.2097,3.640279776,3.8,1688527465,17,0.159720224
1818116,54,-3.5,23.26333846,113.5247729,-1.7187,-3.2055,3.637191216,3.8,1688527465,17,0.162808784
1818116,54,-3.5,23.26333834,113.5247727,-1.7195,-3.2029,3.635278347,3.8,1688527465,17,0.164721653
1818116,54,-3.5,23.26333821,113.5247724,-1.7181,-3.2013,3.633206476,3.8,1688527465,17,0.166793524
1818116,54,-3.5,23.26333809,113.5247722,-1.7159,-3.1997,3.630756519,3.8,1688527465,17,0.169243481
1818116,54,-3.5,23.26333796,113.5247719,-1.7163,-3.1976,3.629095128,3.8,1688527465,17,0.170904872
1818116,54,-3.5,23.26333784,113.5247717,-1.7169,-3.1944,3.626559936,3.8,1688527465,17,0.173440064
1818116,54,-3.5,23.26333772,113.5247714,-1.7166,-3.1901,3.622630753,3.8,1688527465,17,0.177369247
1818116,54,-3.5,23.26333759,113.5247712,-1.7156,-3.1885,3.620747935,3.8,1688527465,17,0.179252065
1818319,54.6,-3.7,23.26333747,113.5247709,-1.7151,-3.1882,3.620246849,3.5,1688527465,11.5,-0.120246849
1818319,54.6,-3.7,23.26333734,113.5247707,-1.713,-3.1856,3.616962311,3.5,1688527465,11.5,-0.116962311
1818319,54.6,-3.7,23.26333722,113.5247704,-1.7105,-3.1828,3.613312343,3.5,1688527465,11.5,-0.113312343
1818319,54.6,-3.7,23.2633371,113.5247702,-1.7098,-3.1786,3.609281646,3.5,1688527465,11.5,-0.109281646
1818319,54.6,-3.7,23.26333697,113.5247699,-1.7072,-3.1777,3.607257841,3.5,1688527465,11.5,-0.107257841
1818319,54.6,-3.7,23.26333685,113.5247697,-1.7068,-3.1767,3.606187617,3.5,1688527465,11.5,-0.106187617
1818319,54.6,-3.7,23.26333673,113.5247694,-1.7041,-3.173,3.601650429,3.5,1688527465,11.5,-0.101650429
1818319,54.6,-3.7,23.2633366,113.5247692,-1.7014,-3.1713,3.598875609,3.5,1688527465,11.5,-0.098875609
1818319,54.6,-3.7,23.26333648,113.5247689,-1.6986,-3.1697,3.596142385,3.5,1688527465,11.5,-0.096142385
1818319,54.6,-3.7,23.26333636,113.5247687,-1.6963,-3.1679,3.593469646,3.5,1688527465,11.5,-0.093469646
1818319,54.6,-3.7,23.26333624,113.5247684,-1.6966,-3.1651,3.591143212,3.5,1688527465,11.5,-0.091143212
1818504,54.4,-3.5,23.26333611,113.5247682,-1.6931,-3.1645,3.588961947,3.5,1688527465,21.5,-0.088961947
1818504,54.4,-3.5,23.26333599,113.5247679,-1.6908,-3.1622,3.58584906,3.5,1688527465,21.5,-0.08584906
1818504,54.4,-3.5,23.26333587,113.5247677,-1.6895,-3.1597,3.583031446,3.5,1688527465,21.5,-0.083031446
1818504,54.4,-3.5,23.26333575,113.5247674,-1.6844,-3.1608,3.581600201,3.5,1688527465,21.5,-0.081600201
1818504,54.4,-3.5,23.26333563,113.5247672,-1.6844,-3.159,3.580011782,3.5,1688527465,21.5,-0.080011782
1818504,54.4,-3.5,23.2633355,113.5247669,-1.6808,-3.157,3.576553878,3.5,1688527465,21.5,-0.076553878
1818504,54.4,-3.5,23.26333538,113.5247667,-1.6795,-3.1547,3.573912749,3.5,1688527465,21.5,-0.073912749
1818693,54.8,-3.7,23.26333526,113.5247664,-1.6777,-3.1522,3.570860139,3.5,1688527465,14,-0.070860139
1818693,54.8,-3.7,23.26333514,113.5247662,-1.6778,-3.1519,3.570642302,3.5,1688527465,14,-0.070642302
1818693,54.8,-3.7,23.26333502,113.524766,-1.6748,-3.1487,3.566408099,3.5,1688527465,14,-0.066408099
1818693,54.8,-3.7,23.26333489,113.5247657,-1.6723,-3.147,3.563733476,3.5,1688527465,14,-0.063733476
1818693,54.8,-3.7,23.26333477,113.5247655,-1.6724,-3.1455,3.562455896,3.5,1688527465,14,-0.062455896
1818693,54.8,-3.7,23.26333465,113.5247652,-1.6699,-3.1427,3.558810096,3.5,1688527465,14,-0.058810096
1818693,54.8,-3.7,23.26333452,113.524765,-1.6716,-3.1395,3.556783211,3.5,1688527465,14,-0.056783211
1818693,54.8,-3.7,23.2633344,113.5247647,-1.6708,-3.1361,3.553406232,3.5,1688527465,14,-0.053406232
1818693,54.8,-3.7,23.26333428,113.5247645,-1.6677,-3.1361,3.551949676,3.5,1688527465,14,-0.051949676
1818888,54.6,-3.5,23.26333415,113.5247642,-1.6669,-3.1338,3.549543358,3.5,1688527465,16.5,-0.049543358
1818888,54.6,-3.5,23.26333403,113.524764,-1.6647,-3.1313,3.546303115,3.5,1688527465,16.5,-0.046303115
1818888,54.6,-3.5,23.26333391,113.5247638,-1.6655,-3.1297,3.545266187,3.5,1688527465,16.5,-0.045266187
1818888,54.6,-3.5,23.26333379,113.5247635,-1.6664,-3.1237,3.540394138,3.5,1688527465,16.5,-0.040394138
1818888,54.6,-3.5,23.26333366,113.5247633,-1.6645,-3.1229,3.538794238,3.5,1688527465,16.5,-0.038794238
1818888,54.6,-3.5,23.26333354,113.524763,-1.6623,-3.1203,3.535465087,3.5,1688527465,16.5,-0.035465087
1818888,54.6,-3.5,23.26333342,113.5247628,-1.6614,-3.1184,3.533365042,3.5,1688527465,16.5,-0.033365042
1818888,54.6,-3.5,23.2633333,113.5247625,-1.66,-3.1162,3.530765135,3.5,1688527465,16.5,-0.030765135
1818888,54.6,-3.5,23.26333317,113.5247623,-1.6612,-3.1116,3.5272709,3.5,1688527465,16.5,-0.0272709
1818888,54.6,-3.5,23.26333305,113.5247621,-1.6617,-3.1079,3.524243082,3.5,1688527465,16.5,-0.024243082
1818888,54.6,-3.5,23.26333293,113.5247618,-1.659,-3.1059,3.521206584,3.5,1688527465,16.5,-0.021206584
1819089,55.2,-3.7,23.26333281,113.5247616,-1.6573,-3.1038,3.518553358,3.5,1688527466,16.5,-0.018553358
1819089,55.2,-3.7,23.26333268,113.5247613,-1.6575,-3.1022,3.517236286,3.5,1688527466,16.5,-0.017236286
1819089,55.2,-3.7,23.26333256,113.5247611,-1.6576,-3.1001,3.515431378,3.5,1688527466,16.5,-0.015431378
1819089,55.2,-3.7,23.26333244,113.5247609,-1.6559,-3.0975,3.51233698,3.5,1688527466,16.5,-0.01233698
1819089,55.2,-3.7,23.26333232,113.5247606,-1.6553,-3.0942,3.509144017,3.5,1688527466,16.5,-0.009144017
1819089,55.2,-3.7,23.2633322,113.5247604,-1.6536,-3.0917,3.50613774,3.5,1688527466,16.5,-0.00613774
1819089,55.2,-3.7,23.26333207,113.5247601,-1.6517,-3.091,3.504624643,3.5,1688527466,16.5,-0.004624643
1819089,55.2,-3.7,23.26333195,113.5247599,-1.6511,-3.0875,3.501255126,3.5,1688527466,16.5,-0.001255126
1819089,55.2,-3.7,23.26333183,113.5247597,-1.6486,-3.0868,3.499459415,3.5,1688527466,16.5,0.000540585
1819089,55.2,-3.7,23.26333171,113.5247594,-1.6441,-3.0847,3.495488364,3.5,1688527466,16.5,0.004511636
1819272,55.4,-3.7,23.26333159,113.5247592,-1.6442,-3.0829,3.493947059,3.5,1688527466,19.5,0.006052941
1819272,55.4,-3.7,23.26333147,113.5247589,-1.6423,-3.0796,3.490141179,3.5,1688527466,19.5,0.009858821
1819272,55.4,-3.7,23.26333135,113.5247587,-1.6391,-3.0768,3.486165092,3.5,1688527466,19.5,0.013834908
1819272,55.4,-3.7,23.26333123,113.5247585,-1.6374,-3.0746,3.483424166,3.5,1688527466,19.5,0.016575834
1819272,55.4,-3.7,23.26333111,113.5247582,-1.6353,-3.0755,3.483232169,3.5,1688527466,19.5,0.016767831
1819272,55.4,-3.7,23.26333099,113.524758,-1.6316,-3.0737,3.479906644,3.5,1688527466,19.5,0.020093356
1819272,55.4,-3.7,23.26333087,113.5247578,-1.6304,-3.0707,3.476694213,3.5,1688527466,19.5,0.023305787
1819272,55.4,-3.7,23.26333075,113.5247575,-1.6291,-3.0695,3.475024757,3.5,1688527466,19.5,0.024975243
1819272,55.4,-3.7,23.26333063,113.5247573,-1.6289,-3.0668,3.472546249,3.5,1688527466,19.5,0.027453751
1819462,56,-3.7,23.26333051,113.524757,-1.627,-3.0648,3.469888765,3.5,1688527466,18.5,0.030111235
1819462,56,-3.7,23.26333039,113.5247568,-1.6248,-3.0627,3.467002499,3.5,1688527466,18.5,0.032997501
1819462,56,-3.7,23.26333027,113.5247566,-1.6236,-3.062,3.46582183,3.5,1688527466,18.5,0.03417817
1819462,56,-3.7,23.26333015,113.5247563,-1.6248,-3.0587,3.463469464,3.5,1688527466,18.5,0.036530536
1819462,56,-3.7,23.26333003,113.5247561,-1.6258,-3.0532,3.459083098,3.5,1688527466,18.5,0.040916902
1819462,56,-3.7,23.26332991,113.5247558,-1.6234,-3.0514,3.45636652,3.5,1688527466,18.5,0.04363348
1819462,56,-3.7,23.26332979,113.5247556,-1.6224,-3.0487,3.453513204,3.5,1688527466,18.5,0.046486796
1819462,56,-3.7,23.26332967,113.5247554,-1.622,-3.0469,3.451736318,3.5,1688527466,18.5,0.048263682
1819462,56,-3.7,23.26332955,113.5247551,-1.6237,-3.0445,3.450417647,3.5,1688527466,18.5,0.049582353
1819645,56,-3.7,23.26332943,113.5247549,-1.6241,-3.0397,3.446371556,3.5,1688527466,21,0.053628444
1819645,56,-3.7,23.26332931,113.5247547,-1.623,-3.0372,3.443648188,3.5,1688527466,21,0.056351812
1819645,56,-3.7,23.26332919,113.5247544,-1.6224,-3.034,3.440543236,3.5,1688527466,21,0.059456764
1819645,56,-3.7,23.26332907,113.5247542,-1.6224,-3.0321,3.438867862,3.5,1688527466,21,0.061132138
1819645,56,-3.7,23.26332895,113.524754,-1.6217,-3.0285,3.435363611,3.5,1688527466,21,0.064636389
1819645,56,-3.7,23.26332883,113.5247537,-1.6231,-3.0264,3.434173928,3.5,1688527466,21,0.065826072
1819645,56,-3.7,23.26332871,113.5247535,-1.6207,-3.025,3.431806156,3.5,1688527466,21,0.068193844
1819645,56,-3.7,23.26332859,113.5247533,-1.6205,-3.0229,3.429860735,3.5,1688527466,21,0.070139265
1819645,56,-3.7,23.26332847,113.524753,-1.6201,-3.0193,3.426499161,3.5,1688527466,21,0.073500839
1819645,56,-3.7,23.26332835,113.5247528,-1.6194,-3.0159,3.423172384,3.5,1688527466,21,0.076827616
1819839,56,-3.5,23.26332824,113.5247526,-1.6189,-3.0126,3.42002865,3.5,1688527466,14.5,0.07997135
1819839,56,-3.5,23.26332812,113.5247523,-1.6175,-3.0107,3.417692312,3.5,1688527466,14.5,0.082307688
1819839,56,-3.5,23.263328,113.5247521,-1.6161,-3.008,3.414651257,3.5,1688527466,14.5,0.085348743
1819839,56,-3.5,23.26332788,113.5247519,-1.6158,-3.0067,3.413364107,3.5,1688527466,14.5,0.086635893
1819839,56,-3.5,23.26332776,113.5247516,-1.6154,-3.002,3.409035224,3.5,1688527466,14.5,0.090964776
1819839,56,-3.5,23.26332764,113.5247514,-1.6164,-2.9996,3.407396238,3.5,1688527466,14.5,0.092603762
1819839,56,-3.5,23.26332752,113.5247512,-1.6147,-2.9978,3.405005276,3.5,1688527466,14.5,0.094994724
1819839,56,-3.5,23.2633274,113.5247509,-1.6127,-2.9973,3.403616985,3.5,1688527466,14.5,0.096383015
1819839,56,-3.5,23.26332728,113.5247507,-1.6132,-2.9937,3.400684333,3.5,1688527466,14.5,0.099315667
1819839,56,-3.5,23.26332717,113.5247505,-1.6122,-2.9923,3.398977512,3.5,1688527466,14.5,0.101022488
1819839,56,-3.5,23.26332705,113.5247502,-1.6133,-2.9897,3.397211059,3.5,1688527466,14.5,0.102788941
1820042,56.4,-3.5,23.26332693,113.52475,-1.6119,-2.9861,3.393378084,3.5,1688527466,17,0.106621916
1820042,56.4,-3.5,23.26332681,113.5247498,-1.6086,-2.985,3.3908434,3.5,1688527466,17,0.1091566
1820042,56.4,-3.5,23.26332669,113.5247495,-1.6076,-2.9827,3.388344293,3.5,1688527466,17,0.111655707
1820042,56.4,-3.5,23.26332657,113.5247493,-1.6055,-2.9825,3.387172346,3.5,1688527466,17,0.112827654
1820042,56.4,-3.5,23.26332645,113.5247491,-1.6046,-2.9794,3.384016182,3.5,1688527466,17,0.115983818
1820042,56.4,-3.5,23.26332634,113.5247488,-1.6025,-2.9772,3.381083567,3.5,1688527466,17,0.118916433
